原厂 modelId,Trinity ID,显示名,厂商,分辨率档,厂商官方,AIGC国内,AIGC国际,TokenHub,火山方舟,线上刊例,AIGC国内vs官方,AIGC国际vs官方,TokenHub vs官方,火山vs官方,刊例结论,备注
gemini-2.5-flash-image,gg-2.5,Gemini,Gemini,1K,$0.039/张,—,—,—,—,$0.0414/张,—,—,—,—,价⚠+6.2%,API ID gemini-2.5-flash-image · Nano Banana
gemini-3-image,gg-3.0,Gemini,Gemini,1K,$0.134/张,¥1/张,$0.135/张,—,—,$0.137931/张,—,⚠+0.7%,—,—,价⚠+2.9%,API ID gemini-3-pro-image · Nano Banana Pro
,,,,2K,$0.134/张,¥1/张,$0.135/张,—,—,$0.248276/张,—,⚠+0.7%,—,—,🔍待核验 价⚠+85.3%,API ID gemini-3-pro-image · Nano Banana Pro
,,,,4K,$0.24/张,¥1.8/张,$0.24/张,—,—,—,—,✅,—,—,ℹ 线上无同档刊例,API ID gemini-3-pro-image · Nano Banana Pro
gemini-3.1-image,gg-3.1,Gemini,Gemini,1K以下,$0.045/张,¥0.333/张,$0.045/张,—,—,—,—,✅,—,—,ℹ 线上无同档刊例,API ID gemini-3.1-flash-image · Nano Banana 2
,,,,1K,$0.067/张,¥0.5/张,$0.067/张,—,—,$0.077/张,—,✅,—,—,价⚠+14.9%,API ID gemini-3.1-flash-image · Nano Banana 2
,,,,2K,$0.101/张,¥0.75/张,$0.101/张,—,—,$0.1154/张,—,✅,—,—,价⚠+14.3%,API ID gemini-3.1-flash-image · Nano Banana 2
,,,,4K,$0.151/张,¥1.12/张,$0.151/张,—,—,$0.154483/张,—,✅,—,—,价⚠+2.3%,API ID gemini-3.1-flash-image · Nano Banana 2
midjourney-v7,mj-v7,Midjourney,Midjourney,1K,$0.039/张,—,—,—,—,$0.0462/张,—,—,—,—,价⚠+18.5%,订阅制，无公开 API 按张价目
openai-image2-high,og-image2-high,OpenAI,OpenAI,1K,$0.211/张,¥1.583/张,$0.211/张,—,—,$1.583/张,—,✅,—,—,🔍待核验 价⚠+650.2%,
,,,,2K,$0.428/张,¥3.21/张,$0.428/张,—,—,$3.21/张,—,✅,—,—,🔍待核验 价⚠+650%,
,,,,4K,$0.712/张,¥5.34/张,$0.712/张,—,—,$5.34/张,—,✅,—,—,🔍待核验 价⚠+650%,
openai-image2-low,og-image2-low,OpenAI,OpenAI,1K,$0.006/张,¥0.045/张,$0.006/张,—,—,$0.045/张,—,✅,—,—,🔍待核验 价⚠+650%,
,,,,2K,$0.012/张,¥0.09/张,$0.012/张,—,—,$0.09/张,—,✅,—,—,🔍待核验 价⚠+650%,
,,,,4K,$0.02/张,¥0.15/张,$0.02/张,—,—,$0.15/张,—,✅,—,—,🔍待核验 价⚠+650%,
openai-image2-medium,og-image2-medium,OpenAI,OpenAI,1K,$0.053/张,¥0.398/张,$0.053/张,—,—,$0.398/张,—,✅,—,—,🔍待核验 价⚠+650.9%,
,,,,2K,$0.107/张,¥0.803/张,$0.107/张,—,—,$0.803/张,—,✅,—,—,🔍待核验 价⚠+650.5%,
,,,,4K,$0.178/张,¥1.335/张,$0.178/张,—,—,$1.335/张,—,✅,—,—,🔍待核验 价⚠+650%,
vidu-q2,vidu-q2,Vidu,Vidu,1K,¥0.1875/张,¥0.1875/张,$0.0288461538461539/张,—,—,$0.0577/张,✅,✅,—,—,🔍待核验 价⚠+100%,viduq2 文生图 · 积分计价
,,,,2K,¥0.25/张,¥0.25/张,$0.0384615384615385/张,—,—,$0.077/张,✅,✅,—,—,🔍待核验 价⚠+100.2%,viduq2 文生图 · 积分计价
,,,,4K,¥0.3125/张,¥0.3125/张,$0.0480769230769231/张,—,—,$0.0482/张,✅,✅,—,—,价✅,viduq2 文生图 · 积分计价
jimeng-4.0,jimeng-4.0,即梦,即梦,1K,¥0.22/张,¥0.22/张,$0.0339/张,—,—,$0.0339/张,✅,✅,—,—,价✅,
,,,,2K,¥0.22/张,¥0.22/张,$0.0339/张,—,—,$0.0339/张,✅,✅,—,—,价✅,
,,,,4K,¥0.22/张,¥0.22/张,$0.0339/张,—,—,$0.0339/张,✅,✅,—,—,价✅,
kling-2.1,kling-2.1,可灵,可灵,1K,¥0.1/张,¥0.1/张,$0.014/张,—,—,$0.013793/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.1/张,¥0.1/张,$0.014/张,—,—,$0.077241/张,✅,⚠-9%,—,—,🔍待核验 价⚠+402.1%,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.26/张,¥0.26/张,$0.037/张,—,—,—,✅,⚠-7.5%,—,—,ℹ 线上无同档刊例,灵感值/Credits 计价，无公开按张 API 价目
kling-3,kling-3.0,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
kling-3.0-omni,kling-3.0-omni,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
kling-o1,kling-o1,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
hunyuan-image-3,hunyuan-3.0,混元,混元,输出,¥0.2/张,—,—,—,—,—,—,—,—,—,ℹ 线上无同档刊例,Trinity Hunyuan-3.0 · 官方与 hy-image-v3.0 同价 0.2元/张
hy-image-lite,hy-image-lite,混元,混元,输出,¥0.099/张,—,—,—,—,—,—,—,—,—,— 未上架,TokenHub hy-image-lite · 混元生图极速版
hy-image-v3.0,hy-image-v3.0,混元,混元,输出,¥0.2/张,—,—,—,—,—,—,—,—,—,— 未上架,TokenHub hy-image-v3.0 · API 混元生图 3.0
doubao-seedream-4.0,si-4.0,豆包,豆包,1K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
doubao-seedream-4.5,si-4.5,豆包,豆包,1K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
doubao-seedream-5.0-lite,si-5.0-lite,豆包,豆包,1K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
qwen-image-0925,qwen-0925,通义,通义,输出,¥0.25/张,—,—,—,—,—,—,—,—,—,ℹ 线上无同档刊例,Trinity qwen-0925 · 百炼 API qwen-image（统一 ¥0.25/张）
