序号,Trinity ID,显示名,厂商,价格档位,上游模型ID,厂商官方价,供应商挂牌(元/百万tokens),供应商vs官方,折扣,成本(元/百万tokens)
1,,豆包 Doubao-seed-evolving,火山方舟,输入≤256k,doubao-seed-evolving,—,入 ¥6 · 出 ¥30 · 缓 ¥1.2,—,—,—
2,,豆包 Doubao-seed-2.1-pro,火山方舟,输入≤256k,doubao-seed-2.1-pro,—,入 ¥6 · 出 ¥30 · 缓 ¥1.2,—,—,—
3,,豆包 Doubao-seed-2.1-turbo,火山方舟,输入≤256k,doubao-seed-2.1-turbo,—,入 ¥3 · 出 ¥15 · 缓 ¥0.6,—,—,—
4,,豆包 Doubao-seed-2.0-pro,火山方舟,输入≤32k,doubao-seed-2.0-pro,—,入 ¥3.2 · 出 ¥16 · 缓 ¥0.64,—,—,—
5,,,,"输入(32k,128k]",doubao-seed-2.0-pro,—,入 ¥4.8 · 出 ¥24 · 缓 ¥0.96,—,—,—
6,,,,"输入(128k,256k]",doubao-seed-2.0-pro,—,入 ¥9.6 · 出 ¥48 · 缓 ¥1.92,—,—,—
7,,豆包 Doubao-seed-2.0-lite,火山方舟,输入≤32k,doubao-seed-2.0-lite,—,入 ¥0.6 · 出 ¥3.6 · 缓 ¥0.12,—,—,—
8,,,,"输入(32k,128k]",doubao-seed-2.0-lite,—,入 ¥0.9 · 出 ¥5.4 · 缓 ¥0.18,—,—,—
9,,,,"输入(128k,256k]",doubao-seed-2.0-lite,—,入 ¥1.8 · 出 ¥10.8 · 缓 ¥0.36,—,—,—
10,,豆包 Doubao-seed-2.0-mini,火山方舟,输入≤32k,doubao-seed-2.0-mini,—,入 ¥0.2 · 出 ¥2 · 缓 ¥0.04,—,—,—
11,,,,"输入(32k,128k]",doubao-seed-2.0-mini,—,入 ¥0.4 · 出 ¥4 · 缓 ¥0.08,—,—,—
12,,,,"输入(128k,256k]",doubao-seed-2.0-mini,—,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,—,—,—
13,,豆包 Doubao-seed-2.0-code,火山方舟,输入≤32k,doubao-seed-2.0-code,—,入 ¥3.2 · 出 ¥16 · 缓 ¥0.64,—,—,—
14,,,,"输入(32k,128k]",doubao-seed-2.0-code,—,入 ¥4.8 · 出 ¥24 · 缓 ¥0.96,—,—,—
15,,,,"输入(128k,256k]",doubao-seed-2.0-code,—,入 ¥9.6 · 出 ¥48 · 缓 ¥1.92,—,—,—
16,,豆包 Doubao-seed-1.8,火山方舟,输入≤32k·输出≤0.2k,doubao-seed-1.8,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
17,,,,输入≤32k·输出≤0.2k,doubao-seed-1.8,—,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,—,—,—
18,,,,"输入(32k,128k]",doubao-seed-1.8,—,入 ¥1.2 · 出 ¥16 · 缓 ¥0.16,—,—,—
19,,,,"输入(128k,256k]",doubao-seed-1.8,—,入 ¥2.4 · 出 ¥24 · 缓 ¥0.16,—,—,—
20,,豆包 Doubao-seed-character,火山方舟,输入≤32k,doubao-seed-character,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
21,,,,"输入(32k,128k]",doubao-seed-character,—,入 ¥1.2 · 出 ¥6 · 缓 ¥0.16,—,—,—
22,,豆包 Doubao-seed-code,火山方舟,输入≤32k,doubao-seed-code,—,入 ¥1.2 · 出 ¥8 · 缓 ¥0.24,—,—,—
23,,,,"输入(32k,128k]",doubao-seed-code,—,入 ¥1.4 · 出 ¥12 · 缓 ¥0.24,—,—,—
24,,,,"输入(128k,256k]",doubao-seed-code,—,入 ¥2.8 · 出 ¥16 · 缓 ¥0.24,—,—,—
25,,豆包 Doubao-seed-1.6,火山方舟,输入≤32k·输出≤0.2k,doubao-seed-1.6,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
26,,,,输入≤32k·输出≤0.2k,doubao-seed-1.6,—,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,—,—,—
27,,,,"输入(32k,128k]",doubao-seed-1.6,—,入 ¥1.2 · 出 ¥16 · 缓 ¥0.16,—,—,—
28,,,,"输入(128k,256k]",doubao-seed-1.6,—,入 ¥2.4 · 出 ¥24 · 缓 ¥0.16,—,—,—
29,,豆包 Doubao-seed-1.6-lite,火山方舟,输入≤32k·输出≤0.2k,doubao-seed-1.6-lite,—,入 ¥0.3 · 出 ¥0.6 · 缓 ¥0.06,—,—,—
30,,,,输入≤32k·输出≤0.2k,doubao-seed-1.6-lite,—,入 ¥0.3 · 出 ¥2.4 · 缓 ¥0.06,—,—,—
31,,,,"输入(32k,128k]",doubao-seed-1.6-lite,—,入 ¥0.6 · 出 ¥4 · 缓 ¥0.06,—,—,—
32,,,,"输入(128k,256k]",doubao-seed-1.6-lite,—,入 ¥1.2 · 出 ¥12 · 缓 ¥0.06,—,—,—
33,,豆包 Doubao-seed-1.6-flash,火山方舟,输入≤32k,doubao-seed-1.6-flash,—,入 ¥0.15 · 出 ¥1.5 · 缓 ¥0.03,—,—,—
34,,,,"输入(32k,128k]",doubao-seed-1.6-flash,—,入 ¥0.3 · 出 ¥3 · 缓 ¥0.03,—,—,—
35,,,,"输入(128k,256k]",doubao-seed-1.6-flash,—,入 ¥0.6 · 出 ¥6 · 缓 ¥0.03,—,—,—
36,,豆包 Doubao-seed-1.6-vision,火山方舟,输入≤32k,doubao-seed-1.6-vision,—,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,—,—,—
37,,,,"输入(32k,128k]",doubao-seed-1.6-vision,—,入 ¥1.2 · 出 ¥16 · 缓 ¥0.16,—,—,—
38,,,,"输入(128k,256k]",doubao-seed-1.6-vision,—,入 ¥2.4 · 出 ¥24 · 缓 ¥0.16,—,—,—
39,,豆包 Doubao-seed-translation,火山方舟,标准价,doubao-seed-translation,—,入 ¥1.2 · 出 ¥3.6,—,—,—
40,,豆包 Doubao-1.5-pro-32k,火山方舟,标准价,doubao-1.5-pro-32k,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
41,,豆包 Doubao-1.5-lite-32k,火山方舟,标准价,doubao-1.5-lite-32k,—,入 ¥0.3 · 出 ¥0.6 · 缓 ¥0.06,—,—,—
42,,豆包 Doubao-1.5-vision-pro,火山方舟,标准价,doubao-1.5-vision-pro,—,入 ¥3 · 出 ¥9,—,—,—
43,glm-5.2,智谱 GLM-5.2,火山方舟,标准价,glm-5.2,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥2,✅ 一致,—,—
44,glm-4-7-251222,智谱 GLM-4.7,火山方舟,输入≤32k·输出≤0.2k,glm-4.7,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 ¥2 · 出 ¥8 · 缓 ¥0.4,✅ 一致,—,—
45,,,,输入≤32k·输出≤0.2k,glm-4.7,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 ¥3 · 出 ¥14 · 缓 ¥0.6,⚠ 入+50% 出+75% 缓+50%,—,—
46,,,,"输入(32k,200k]",glm-4.7,入 ¥4 · 出 ¥16 · 缓 ¥0.8,入 ¥4 · 出 ¥16 · 缓 ¥0.8,✅ 一致,—,—
47,deepseek-v4-pro,DeepSeek deepseek-v4-pro,火山方舟,标准价,deepseek-v4-pro,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 ¥12 · 出 ¥24 · 缓 ¥1,⚠ 入+300% 出+300% 缓+3900%,—,—
48,deepseek-v4-flash,DeepSeek deepseek-v4-flash,火山方舟,标准价,deepseek-v4-flash,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 ¥1 · 出 ¥2 · 缓 ¥0.2,⚠ 缓+900%,—,—
49,deepseek-v3.2,DeepSeek deepseek-v3.2,火山方舟,输入≤32k,deepseek-v3.2,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥2 · 出 ¥3 · 缓 ¥0.4,✅ 一致,—,—
50,,,,"输入(32k,128k]",deepseek-v3.2,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥4 · 出 ¥6 · 缓 ¥0.4,⚠ 入+100% 出+100%,—,—
51,,DeepSeek deepseek-v3.1,火山方舟,标准价,deepseek-v3.1,—,入 ¥4 · 出 ¥12 · 缓 ¥0.8,—,—,—
52,,DeepSeek deepseek-v3,火山方舟,标准价,deepseek-v3,—,入 ¥2 · 出 ¥8 · 缓 ¥0.4,—,—,—
53,,DeepSeek deepseek-r1,火山方舟,标准价,deepseek-r1,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
